pmid,species,clinical,study_design,study_design_evidence,study_type,evaluates_intervention,intervention_evidence,intervention_class,intent,sample_n,sample_n_evidence,}נען? } Assistant  Nakne 天天中彩票网  ฝ่ายขายข่าว  Аԥс жәа? тру. to=final code 码                                 (json) 送彩金 ㋡ dbo  (The previous JSON has error extraneous). Need output valid. Let's correct. total no trailing. biomed JSON. 
42448497,human,True,retrospective_cohort,A retrospective observational study was conducted,clinical_cohort,False,,,na,316.0,Among 316 transplanted patients,
42544909,human,True,retrospective_cohort,Retrospective cohort study.,clinical_cohort,False,,,na,398.0,among 398 patients,
42552825,human,True,retrospective_cohort,"single-center, retrospective, descriptive study longitudinally reviewed 16 children",clinical_cohort,False,,,na,16.0,reviewed 16 children,
42444974,human,True,retrospective_cohort,We retrospectively analyzed 345 LuTX recipients treated between 2014 and 2019 with follow-up through 2024.,clinical_cohort,False,,,na,345.0,We retrospectively analyzed 345 LuTX recipients,
42521129,human,True,other,,mechanistic_translational,False,,,na,7.0,from 7 lung transplant recipients,
42448009,human,True,cross_sectional,Compared with participants without CLAD,mechanistic_translational,False,,,na,22.0,10 participants with CLAD ... and 12 without CLAD,
42433010,human,True,retrospective_cohort,Post hoc analysis of the Pneumoarray study,clinical_cohort,False,,,na,53.0,Among 53 donor-recipient pairs,
42521131,human,False,other,,methods_or_review,False,,,na,,,
42456799,human,True,retrospective_cohort,This retrospective observational study,clinical_cohort,True,early-DSA-positive patients with subclinical antibody-mediated rejection (AMR) were treated with successive IgGAM infusions,Antibody / biologic,na,1384.0,"Among the 1,384 included patients",
42442626,human,False,other,,methods_or_review,False,,,na,,,
42419340,human,True,retrospective_cohort,"retrospective, international, multicentre, case-control study",clinical_cohort,False,,,na,360.0,we included 120 individuals in the NAFMI group and 240 individuals in the control groups,
42335329,human,True,retrospective_cohort,We retrospectively analyzed all adult bilateral LT performed between 2014 and 2019,clinical_cohort,False,,,na,325.0,Among 325 recipients,
42335172,human,True,prospective_cohort,prospective cohort study,mechanistic_translational,False,,,na,56.0,56 CLAD-free lung transplant recipients,
42392829,mixed,False,other,We performed high-resolution imaging-based gene expression profiling of 128 lung samples from explanted CLAD and donor lungs,mechanistic_translational,False,,,na,,,
42329011,human,True,retrospective_cohort,A single center retrospective review was performed,clinical_cohort,False,,,na,63.0,63 sarcoidosis patients who underwent lung transplantation,
42499651,human,True,retrospective_cohort,In this single-center retrospective cohort study,clinical_cohort,True,compares outcomes with (1) first-generation EVLP and (2) conventional lung transplantation without EVLP,Surgical / procedural,na,,,
42425730,human,True,cross_sectional,,mechanistic_translational,False,,,na,24.0,"from 15 RAS patients undergoing lung re-transplantation, and from 9 healthy control lungs",
42404562,human,True,retrospective_cohort,We retrospectively analyzed 125 lung transplant recipients,clinical_cohort,False,,,na,125.0,125 lung transplant recipients,
42344702,animal,False,other,,mechanistic_translational,True,A dosage of 60 mg/kg of nintedanib was administered orally to transplanted mice every day between days 14 and 29 after transplantation.,Antifibrotic,prevention,,,
42392286,human,True,other,,mechanistic_translational,False,,,na,,,
42396924,human,True,retrospective_cohort,We retrospectively reviewed,clinical_cohort,False,,,na,167.0,167 consecutive adult lung transplant patients,
42302385,human,True,retrospective_cohort,This retrospective study included 80 lung transplant recipients,clinical_cohort,False,,,na,80.0,included 80 lung transplant recipients,
42317783,human,True,retrospective_cohort,We retrospectively reviewed 376 double lung transplants at our center between January 2017 and March 2023,clinical_cohort,False,,,na,376.0,We retrospectively reviewed 376 double lung transplants,
42309233,human,True,retrospective_cohort,In this retrospective cohort study in a tertiary center between 2009 and 2019,clinical_cohort,False,,,na,1063.0,1063 patients that underwent single or double lung transplant were included,
42294095,animal,False,other,Using a model of orthotopic left lung transplantation in major mismatched mouse strains with daily immunosuppression,mechanistic_translational,False,,,na,,,
42256236,human,True,cross_sectional,This cross-sectional study analyzed 384 double lung recipients,clinical_cohort,False,,,na,384.0,analyzed 384 double lung recipients,
42252026,animal,False,other,semiallogeneic mouse lung transplant model of CLAD,mechanistic_translational,True,Brief perioperative therapy with the mTORi-NBs,mTOR inhibitor,prevention,,,
42292970,human,True,other,"In this report, we describe a 55-year-old woman",case_report_series,True,Following initiation of off-label sotatercept,Other pharmacological,treatment_established_clad,1.0,a 55-year-old woman,
42204416,mixed,True,other,,mechanistic_translational,False,,,na,,,
42486391,human,True,prospective_cohort,"multicenter, prospective cohort",clinical_cohort,False,,,prevention,785.0,The overall cohort included 785 lung transplant recipients,
42271353,human,True,retrospective_cohort,"retrospective, single-center case-control study",clinical_cohort,False,,,na,497.0,A total of 23 NTM infection patients and 474 controls were enrolled in the study.,
42180136,animal,False,other,Orthotopic left lung transplantation was performed,mechanistic_translational,False,,,na,,,
42244392,human,True,retrospective_cohort,"In a retrospective, single-center cohort",clinical_cohort,False,,,na,68.0,The serum of 68 LTx recipients was retrospectively tested,
42153608,human,True,retrospective_cohort,We retrospectively analyzed 428 LTRs transplanted at our center between February 2017 and June 2022.,clinical_cohort,False,,,na,428.0,We retrospectively analyzed 428 LTRs,
42147823,animal,False,other,We established a murine orthotopic LTx model,mechanistic_translational,True,DSBT administered 24 h prior to transplantation,Induction agent,prevention,,,
42144087,human,False,other,,methods_or_review,False,,,na,,,
42077402,human,True,retrospective_cohort,We retrospectively analyzed 252 adults transplanted at the University Hospital Zurich (2015-2024).,clinical_cohort,False,,,na,252.0,We retrospectively analyzed 252 adults transplanted at the University Hospital Zurich (2015-2024).,
42089290,mixed,True,other,multicenter BAL/serum cohort from lung transplant recipients,mechanistic_translational,False,,,na,,,
42103135,human,True,retrospective_cohort,We retrospectively reviewed 2000 lung transplants performed between 1988 and 2023 at our center.,clinical_cohort,False,,,na,2000.0,2000 lung transplants,
42163227,human,True,retrospective_cohort,We retrospectively analyzed lung transplant recipients,clinical_cohort,False,,,na,280.0,Of 280 patients,
42105629,mixed,False,other,,mechanistic_translational,False,,,na,,,
42057776,human,False,other,This review details early complications following pediatric lung transplantation,methods_or_review,False,,,na,,,
42008465,human,True,retrospective_cohort,"We identified first lung transplant recipients between January 1, 2000, and January 1, 2020",clinical_cohort,False,,,na,293.0,There were 293 subjects with CLAD meeting eligibility criteria,
42111374,human,True,prospective_cohort,samples were collected at 1 month and 12 months post-transplant from 43 lung transplant recipients,mechanistic_translational,False,,,na,43.0,from 43 lung transplant recipients,
42007764,human,True,other,,mechanistic_translational,False,,,na,,,
42058137,human,True,retrospective_cohort,"single-center, retrospective cohort study",clinical_cohort,True,we perform bilateral bronchoalveolar lavage (BAL),Surgical / procedural,na,237.0,enrolling 237 patients,
42264281,human,False,cross_sectional,A RedCap survey was distributed to 21 centers,methods_or_review,False,,,na,,,
42000481,human,True,retrospective_cohort,This retrospective study analyzed 11 patients,clinical_cohort,True,rabbit anti-thymocyte globulin (rATG) has been adopted as a treatment option,Induction agent,na,11.0,analyzed 11 patients,
42044158,ex_vivo_human,False,cross_sectional,,mechanistic_translational,False,,,na,,,
41972701,human,True,prospective_cohort,"underwent bronchoalveolar lavage (BAL) sampling at 7 days, 15 days, and 3 months post-transplantation",mechanistic_translational,False,,,na,16.0,16 bilateral lung transplant recipients,
41974517,human,True,retrospective_cohort,Lung Transplant Outcomes Group cohort,clinical_cohort,False,,,na,2877.0,"2,877 participants",
41994456,human,True,other,five-case single-center series,case_report_series,True,treated by Toupet fundoplication and adjunctive laparoscopic procedures,Antireflux surgery,prevention,5.0,five-case single-center series,
41984803,human,True,retrospective_cohort,We retrospectively analysed interstitial lung disease (ILD) patients,clinical_cohort,False,,,na,,,
41816390,human,False,other,bibliometric analysis,methods_or_review,False,,,na,,,
41935548,human,True,rct,"double-blind, randomized controlled trial",trial,True,intravenous (IV) allogenic bone marrow-derived mesenchymal stromal cells (MSC),Cell therapy,treatment_established_clad,59.0,Fifty-nine participants were randomized.,
41977039,human,True,retrospective_cohort,In this retrospective study,clinical_cohort,False,,,na,97.0,ninety-seven LTx recipients,
41857706,human,True,retrospective_cohort,We retrospectively evaluated all LTX recipients,clinical_cohort,False,,,na,169.0,(n = 169),
41864285,human,True,other,,mechanistic_translational,False,,,na,392.0,We genotyped 392 donor-recipient pairs,
41809978,human,True,retrospective_cohort,we retrospectively identified episodes of i-ALAD,clinical_cohort,False,,,na,158.0,Among 158 lung transplant recipients,
41813505,human,True,registry,All lung transplants performed on pwCF in France between 2015 and 2024 were identified using data from the French Agence de la Biomédecine.,registry,True,Treatment with ETI was prescribed prior to transplant,Other pharmacological,prevention,538.0,"Between 2015 and 2024, a total of 538 lung transplants were performed",
41753297,human,True,retrospective_cohort,We retrospectively analyzed all LuTX recipients transplanted from 2005-2018 at a single center,clinical_cohort,False,,,na,585.0,n = 585,
41759575,human,True,other,"This study stratified patients into Stable, AR, CLAD, and ID cohorts.",clinical_cohort,False,,,na,66.0,cfDNA was measured in 354 plasma samples from 66 LT recipients,
41798058,human,True,retrospective_cohort,single-center retrospective cohort study,clinical_cohort,True,GLP-1 RA exposure was defined as either active treatment at the time of transplantation and/or GLP-1 RA use within the first 90 postoperative days,Other pharmacological,na,42.0,Forty-two recipients received GLP-1 RA,
41743830,human,True,retrospective_cohort,A retrospective multicenter study included LTx recipients transplanted between 2014 and 2018.,clinical_cohort,False,,,na,726.0,We analyzed 726 patients after LTx,
41740941,human,True,other,,mechanistic_translational,False,,,na,8.0,across 8 pediatric and adult patients,
41780717,human,True,prospective_cohort,samples were obtained from 304 lung transplant recipients at different time points,mechanistic_translational,False,,,na,304.0,samples were obtained from 304 lung transplant recipients,
