item,section,text,location,note
1,Title,Identify the report as a systematic review.,Title,"Titled as a systematic literature audit of the CLAD literature; the design is a meta-research reporting audit, not a review of intervention effects."
2,Abstract,See the PRISMA 2020 for Abstracts checklist.,Abstract,Structured abstract.
3,Introduction,Describe the rationale for the review in the context of existing knowledge.,Introduction,
4,Introduction,Provide an explicit statement of the objective(s) or question(s) the review addresses.,Introduction (final paragraph),Three questions stated explicitly.
5,Methods,Specify the inclusion and exclusion criteria for the review and how studies were grouped for the syntheses.,"Methods, Eligibility; Supplement S2",Eligibility keys on study structure. Confirmed exclusions are recorded per identifier with a reason and available with the study data.
6,Methods,"Specify all databases, registers, websites, organisations, reference lists and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.","Methods, Design and search; Supplement S1",Single source (PubMed via E-utilities); query frozen 5 August 2026.
7,Methods,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Supplement S1,Query reproduced verbatim from the pipeline source at render time.
8,Methods,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.","Methods, Eligibility and Extraction; Supplement S2, S3, S7","Screening was automated: a title/abstract classifier over all screened records, then a full-text pass. No dual human screening. Both automated steps were validated against a blinded expert reference standard (S7)."
9,Methods,"Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and if applicable, details of automation tools used in the process.","Methods, Extraction; Supplement S3, S4, S7",Single-pass language-model extraction under an evidence-grounded protocol; prompts verbatim in S4. No contact with study investigators. Validated against an expert reference standard on a blinded subset.
10a,Methods,"List and define all outcomes for which data were sought. Specify whether all results that were compatible with each outcome domain in each study were sought (e.g. for all measures, time points, analyses), and if not, the methods used to decide which results to collect.","Methods, Covariate panel and Analysis; Supplement S6","The outcome is reporting completeness per covariate, scored 0/1/2 against pre-specified anchors (S6)."
10b,Methods,"List and define all other variables for which data were sought (e.g. participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.","Methods, Analysis; Supplement S5, S6",Study-level covariates listed in Methods. Assumptions are resolved conservatively: an unquoted value falls back to the null (S5).
11,Methods,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Not applicable,"No risk-of-bias appraisal of included studies. The audit measures what studies report, not whether their estimates are correct; appraising them would be a different study."
12,Methods,"Specify for each outcome the effect measure(s) (e.g. risk ratio, mean difference) used in the synthesis or presentation of results.","Methods, Analysis",Completeness is a proportion; predictors are adjusted odds ratios from a mixed-effects logistic model at the study-determinant level.
13a,Methods,Describe the processes used to decide which studies were eligible for each synthesis.,"Methods, Eligibility and Analysis",Per-item denominators vary: conditional items are scored only where the triggering population is present.
13b,Methods,"Describe any methods required to prepare the data for presentation or synthesis, such as handling of missing summary statistics, or data conversions.","Methods, Extraction; Supplement S3",Composite quantities are computed in code from the item scores.
13c,Methods,Describe any methods used to tabulate or visually display results of individual studies and syntheses.,"Methods, Analysis",
13d,Methods,"Describe any methods used to synthesise results and provide a rationale for the choice(s). If meta-analysis was performed, describe the model(s), method(s) to identify the presence and extent of statistical heterogeneity, and software package(s) used.","Methods, Analysis","No meta-analysis: effect estimates are not pooled. Predictors are modelled at the study-determinant level by mixed-effects logistic regression, with the rationale given; covariate-by-determinant heterogeneity is tested and reported."
