pmid,source_format,outcome_role,study_design,study_design_llm,study_design_meta,design_disagreement,sample_size,followup,funding,missing_data_handled,strobe_cited,is_interventional_ft,intervention,intervention_intent,trial_registered,registration_id,primary_exposure,exposure_measure,exposure_estimate,exposure_ci,exposure_significant,survival_method,time_varying_covariates,multiplicity_addressed,n_clad_events,n_covariates_in_model,events_per_variable,adjustment_set,n_adjusted,protocol,model,extracted,score_indication_mix,adj_indication_mix,score_procedure,adj_procedure,score_era,adj_era,score_center_structure,adj_center_structure,score_sample_followup,adj_sample_followup,score_donor_type,adj_donor_type,score_evlp,adj_evlp,score_race_ethnicity,adj_race_ethnicity,score_cmv_dr,adj_cmv_dr,score_hla_mismatch,adj_hla_mismatch,score_pre_tx_dsa,adj_pre_tx_dsa,score_de_novo_dsa,adj_de_novo_dsa,score_induction,adj_induction,score_maintenance_is,adj_maintenance_is,score_acr,adj_acr,score_amr,adj_amr,score_pgd,adj_pgd,score_cmv_events,adj_cmv_events,score_resp_viral,adj_resp_viral,score_colonization,adj_colonization,score_gerd,adj_gerd,score_azithromycin,adj_azithromycin,score_telomere,adj_telomere,score_pre_tx_is,adj_pre_tx_is,score_antifibrotic,adj_antifibrotic,score_cni_ipv,adj_cni_ipv,score_cyp3a5,adj_cyp3a5,score_nonhla_ab,adj_nonhla_ab,score_eplet_mm,adj_eplet_mm,score_clad_definition,adj_clad_definition,score_phenotyping,adj_phenotyping,score_nrad_exclusion,adj_nrad_exclusion,score_clad_staging,adj_clad_staging,score_baseline_fev1,adj_baseline_fev1,score_competing_risk,adj_competing_risk,score_followup_censoring,adj_followup_censoring,min_set_met,n_minset,year,era,journal,publisher,country,group_key,is_multicenter_or_registry,design_meta,tier,design_adjudicated,species,clinical,class_intervention,class_intent,evaluates_intervention,study_design_ab,sample_n_ab,study_type,is_interventional,intent_adjudicated,n_adjusted_grounded,model_type,clad_method,n_covariates_clad,clad_covariates,cite_count,rcr,nih_pctl,cites_per_year
15636617,pdf,descriptor,cross_sectional,cross_sectional,,False,90.0,3.1(0.25–16) years since transplant,mixed,unclear,False,False,,na,unclear,,,,,,,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,not,False,na,False,partial,False,partial,False,not,False,full,False,partial,False,na,False,na,False,False,1,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Elsevier BV,Canada,theodore j|canada,False,,OA,False,human,True,,na,False,cross_sectional,90.0,clinical_cohort,False,False,0,none,none,,,17.0,0.5806332839511481,33.1,0.81
15636621,pdf,primary,prospective_cohort,prospective_cohort,,False,51.0,The mean follow-up was 4.2 ± 1.6 (range: 2–4.5) years.,public_nonprofit,unclear,False,False,,na,unclear,,HLA-specific antibodies,other,relative risk of 3 for BOS,,True,km_logrank,unclear,unclear,19.0,,,acr;hla_mismatch,2,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,not,False,partial,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,full,True,partial,False,full,False,not,False,full,False,full,True,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,na,False,na,False,na,False,partial,False,na,False,not,False,not,False,partial,False,partial,False,not,False,partial,False,partial,False,not,False,not,False,False,3,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Elsevier BV,United States,zeevi a|united states,False,,OA,False,human,True,,na,False,prospective_cohort,51.0,clinical_cohort,False,False,0,multivariable,logistic,3.0,HLA-specific antibodies;ACR-PR;lymphocytic bronchiolitis;the number of HLA-DR mismatches,144.0,3.941478599984273,89.0,6.86
15640363,pdf,secondary,other,other,,False,170.0,more than 3 years in each group,public_nonprofit,unclear,False,False,,na,unclear,,TLR4 Asp299Gly or Thr399Ile heterozygosity,other,,,False,cox_ph,unclear,unclear,,8.0,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,full,False,not,False,partial,False,partial,False,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,na,False,not,False,not,False,full,False,partial,False,not,False,full,False,full,False,not,False,not,False,False,3,2005,pre,American journal of respiratory and critical care medicine,Oxford University Press (OUP),United States,schwartz da|united states,False,,Other-paywall,False,human,True,,na,False,other,170.0,clinical_cohort,False,False,4,univariable_only,km_logrank,,,105.0,2.400509116675117,78.6,5.0
15653385,pdf,primary,other,other,,False,28.0,,none_stated,unclear,False,False,,na,unclear,,Induced sputum neutrophil percentage,other,,,True,other,no,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,not,False,full,False,not,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,na,False,na,False,na,False,na,False,not,False,na,False,full,False,partial,False,partial,False,full,False,partial,False,na,False,na,False,False,0,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Elsevier BV,United Kingdom,leonard ct|united kingdom,False,,Elsevier,False,human,True,,na,False,other,,clinical_cohort,False,False,0,none,none,,,8.0,0.2375078632023588,15.0,0.38
15653979,pdf,descriptor,cross_sectional,cross_sectional,,False,50.0,"4.2 years (SD, 2.2; minimum, 1.6 years; maximum, 9.1 years)",public_nonprofit,yes,False,False,,na,unclear,,,,,,,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,na,False,not,False,na,False,na,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,partial,False,na,False,na,False,False,0,2005,pre,Chest,Elsevier BV,Switzerland,boehler a|switzerland,False,,Elsevier,False,human,True,,na,False,cross_sectional,50.0,clinical_cohort,False,False,0,none,none,,,36.0,1.3588223563413135,61.0,1.71
15699755,pdf,primary,retrospective_cohort,retrospective_cohort,,False,76.0,"mean follow-up time for all patients was 866 (range 1–2,475) days",public_nonprofit,unclear,False,False,,na,unclear,,Donor and recipient C. pneumoniae serology,OR,18.4,1.7–196.7,True,logistic,unclear,unclear,20.0,7.0,2.9,acr;cmv_dr;hla_mismatch,3,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,partial,True,partial,True,not,False,not,False,partial,False,partial,False,partial,True,not,False,not,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,na,False,not,False,na,False,not,False,not,False,full,False,partial,False,not,False,partial,False,not,False,na,False,na,False,False,4,2005,pre,Transplantation,Ovid Technologies (Wolters Kluwer Health),Australia,ostergaard l|australia,False,,WoltersKluwer,False,human,True,,na,False,prospective_cohort,76.0,clinical_cohort,False,False,4,multivariable,logistic,7.0,Donor C. pneumoniae IgG EIU32;Recipient C. pneumoniae IgG EIU32;HLA match 2;ATGAM Treatment;Ischemic time 6 hrs;A3 rejection episode;CMV pneumonitis,29.0,0.857857699220351,45.1,1.38
15701426,pdf,secondary,other,other,,False,80.0,,industry,unclear,False,False,,na,unclear,,Chlamydia pneumoniae infection,,,,True,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,full,False,partial,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,partial,False,na,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,not,False,na,False,na,False,False,2,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Elsevier BV,Australia,malouf m|australia,False,,Elsevier,False,human,True,,na,False,prospective_cohort,80.0,clinical_cohort,False,False,0,none,none,,,56.0,1.681665646725585,68.1,2.67
15701428,pdf,primary,retrospective_cohort,retrospective_cohort,,False,127.0,,unclear,unclear,False,False,RATG versus OKT3 induction therapy,prevent_clad,unclear,,Induction therapy with RATG versus OKT3,other,,,True,other,unclear,unclear,54.0,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,full,False,full,False,partial,False,not,False,not,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,na,False,not,False,na,False,full,False,partial,False,not,False,partial,False,not,False,na,False,na,False,False,3,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Elsevier BV,United States,whyte ri|united states,True,,Elsevier,False,human,True,Induction agent,prevention,True,retrospective_cohort,127.0,clinical_cohort,True,False,0,univariable_only,km_logrank,,,34.0,1.058025163477646,52.3,1.62
15707408,pdf,primary,retrospective_cohort,retrospective_cohort,,False,37.0,post-TLI survival median 27 (0–93) months = 2.25 years,unclear,unclear,False,True,total lymphoid irradiation,treat_clad,unclear,,Total lymphoid irradiation,other,97.5 mls/month,48.2–146.7,True,other,unclear,na,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,partial,False,full,False,full,False,full,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,not,False,na,False,full,False,partial,False,not,False,full,False,partial,False,na,False,na,False,False,0,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Elsevier BV,United Kingdom,corris pa|united kingdom,True,,OA,False,human,True,Total lymphoid irradiation,treatment_established_clad,True,retrospective_cohort,37.0,clinical_cohort,True,False,0,none,none,,,87.0,2.5509676228450227,80.1,4.14
15707409,pdf,descriptor,retrospective_cohort,retrospective_cohort,,False,27.0,,industry,unclear,False,False,,na,unclear,,CMV viral load,,,,False,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,partial,False,full,False,full,False,partial,False,not,False,not,False,not,False,full,False,not,False,not,False,not,False,not,False,full,False,partial,False,not,False,not,False,full,False,not,False,not,False,not,False,not,False,na,False,na,False,na,False,partial,False,na,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,not,False,na,False,na,False,False,3,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Elsevier BV,United States,avery rk|united states,False,,OA,False,human,True,,na,False,cross_sectional,27.0,clinical_cohort,False,False,0,none,none,,,64.0,1.865649025190453,71.4,3.05
